bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,8,6,13.0,#42399,80.19204736,61.491682351,61.999903799,54.580934713
D/S1W2,8,23,43.0,#56376,96.06734167,50.634912891,90.424164282,42.303741129
D/S1W2,8,23,47.0,#56376,96.07852404,50.648653448,90.466402474,42.339050461
D/S1W2,8,23,47.0,#56376,96.07852404,50.648653448,90.466410089,42.339059189
D/S1W2,8,23,48.0,#56376,96.08132028,50.652088543,90.476967137,42.347890984
D/S1W2,8,51,6.0,#56376,101.072857156,56.24664245,107.30100928,57.202362247
D/S1W2,8,51,8.0,#56376,101.079543647,56.253422805,107.320930586,57.220931476
D/S1W2,8,51,14.0,#56376,101.099613286,56.273762942,107.380684715,57.276644839
D/S1W2,8,51,17.0,#56376,101.109653829,56.283932484,107.41055626,57.304504701
D/S1W2,9,17,38.0,#56376,107.033381446,61.581941196,122.606708618,72.248647089
D/S1W2,9,17,40.0,#56376,107.041823095,61.58854703,122.625199349,72.267842122
D/S1W2,9,17,41.0,#56376,107.04604498,61.591849835,122.634457698,72.277452556
D/S1W2,9,17,42.0,#56376,107.050267575,61.595152566,122.643692921,72.287038858
D/S1W2,4,19,35.0,#236815,95.184705778,79.827060269,81.791375696,75.375658701
D/S1W2,4,52,42.0,#281763,71.683232402,70.711822303,79.448478721,87.375652181
D/S1W2,5,2,10.0,#281763,71.132735173,72.571821718,78.745964349,87.375652181
D/S1W2,5,18,18.0,#281763,69.433789898,75.721541327,77.147650963,87.375652181
D/S1W2,5,27,35.0,#281763,67.79299479,77.513793754,76.00159501,87.375652181
D/S1W2,5,48,18.0,#306263,67.862506425,69.813280016,74.641563979,87.375652181
D/S1W2,6,48,54.0,#306263,52.103118133,80.938456322,67.758537092,87.375652181
D/S1W2,3,31,0.0,#236815,87.923237913,70.579849119,87.031143912,75.375658701
D/S1W2,3,40,25.0,#236815,89.099049463,72.53095698,86.267758773,75.375658701
D/S1W2,4,2,58.0,#236815,92.525472949,77.203876028,83.693862442,75.375658701
D/S1W2,4,12,37.0,#236815,94.470576857,79.200301748,82.275704659,75.375658701
D/S1W2,4,41,14.0,#281763,71.957232977,69.227946903,79.881907311,87.375652181
D/S1W2,5,14,54.0,#281763,69.355499437,75.82472648,77.08609615,87.375652181
D/S1W2,5,24,59.0,#281763,67.501324007,77.769104029,75.823354993,87.375652181
D/S1W2,5,47,8.0,#306263,67.653581137,70.343765695,74.478390061,87.375652181
D/S1W2,5,56,38.0,#306263,66.74474752,72.159311869,73.80714883,87.375652181
D/S1W2,6,13,5.0,#306263,64.220066608,75.264216548,72.238043611,87.375652181
D/S1W2,6,22,25.0,#306263,61.992146158,76.99034413,71.121059371,87.375652181
D/S1W2,6,47,42.0,#302106,11.928835659,76.290938683,35.626519179,87.375652181
D/S1W2,6,57,4.0,#302106,5.28585629,76.582220711,33.880230074,87.375652181
D/S1W2,7,25,22.0,#319693,44.888227679,64.443002111,38.604044202,87.375652181
D/S1W2,7,34,50.0,#319693,43.18007014,65.807399205,38.297378105,87.375652181
D/S1W2,7,55,3.0,#319613,54.385097171,73.838681378,61.791667814,87.375652181
D/S1W2,8,4,26.0,#319613,51.444891965,75.391301274,60.756522933,87.375652181
D/S1W2,8,46,44.0,#5314,36.731545549,61.830708988,22.593796696,87.375652181
D/S1W2,9,2,5.0,#5314,33.851442493,63.670830897,22.143936576,87.375652181
D/S1W2,9,11,28.0,#5314,31.79322044,64.725540473,21.698353908,87.375652181
D/S1W2,10,44,32.0,#10134,11.952405286,68.340416397,12.08566321,87.675652018
D/S1W2,11,11,11.0,#10134,1.622731619,68.998607714,3.770286457,83.375654354
D/S1W2,4,20,42.0,#251622,44.590250049,62.909936305,0.2081,51.637771868
D/S1W2,4,32,45.0,#236884,49.902390733,73.355844268,0.2081,30.748821172
D/S1W2,4,40,11.0,#254159,41.615964379,64.772305318,0.2081,53.047544554
D/S1W2,4,47,16.0,#254193,40.233423741,65.731353356,0.2081,53.295610442
D/S1W2,5,1,12.0,#247692,45.55459473,72.928939071,0.2081,35.606469346
D/S1W2,5,9,48.0,#254159,34.564429681,68.578929002,0.2081,54.734904101
D/S1W2,5,15,40.0,#254193,32.797482377,69.252868257,0.2081,55.20114503
D/S1W2,5,21,5.0,#262307,22.998989422,63.367366789,0.2081,79.234406735
D/S1W2,5,26,47.0,#254159,28.942243776,70.436288687,0.2081,56.321193541
D/S1W2,5,32,48.0,#254193,26.668557252,71.019345046,0.2081,56.957120598
D/S1W2,5,39,42.0,#247692,26.058916039,77.713529218,0.2081,40.768696599
D/S1W2,5,45,16.0,#251622,19.237216628,72.726363549,0.2081,58.236137377
D/S1W2,5,52,10.0,#262307,14.613098678,65.458691227,0.2081,81.965372825
D/S1W2,5,57,53.0,#251622,12.740391643,73.448651462,0.2081,60.159501928
D/S1W2,6,5,33.0,#250761,17.069738175,81.868423759,0.2081,33.211641581
D/S1W2,11,7,1.0,#18735,89.099313301,67.25824663,54.208204913,37.600610203
D/S1W2,11,18,47.0,#18735,90.750558513,69.697054942,54.208204913,38.225664801
D/S1W2,11,24,3.0,#18735,91.554307513,70.788457055,54.208204913,38.600378122
D/S1W2,11,30,10.0,#19572,84.56723791,71.265743602,54.208204913,47.077881553
D/S1W2,11,37,48.0,#19896,65.315637044,72.113252929,54.208204913,69.39604337
D/S1W2,11,51,41.0,#19572,86.420049426,75.71148095,64.208224341,59.170732494
D/S1W2,11,58,48.0,#22136,65.176779627,73.126808973,64.208224341,79.20065519
D/S1W2,12,12,56.0,#19572,88.507348735,80.111329234,64.208224341,62.155752414
D/S1W2,12,23,4.0,#19896,51.643607229,80.235971853,64.208224341,84.914881578
D/S1W2,12,31,46.0,#19572,91.057500963,84.014569071,64.208224341,65.542415164
D/S1W2,12,40,23.0,#22136,51.588452894,80.573955359,64.208224341,84.542330422
D/S1W2,5,6,50.0,#157382,169.730800358,43.988005947,222.573193877,81.375655441
D/S1W2,3,10,39.0,#236815,266.551538408,78.213864986,54.959523371,75.51445714
D/S1W2,3,20,23.0,#236815,268.321485167,76.198473083,54.587838123,78.583689568
D/S1W2,4,10,23.0,#268493,244.441160446,76.820976119,82.38880909,85.906327983
D/S1W2,5,8,13.0,#298846,249.846249397,75.629797058,78.803280006,86.76780183
D/S1W2,5,34,1.0,#298628,278.093685101,71.936846294,47.051830351,85.867007819
D/S1W2,8,0,26.0,#17622,9.135525119,50.424305719,5.853526859,133.081938041
D/S1W2,8,21,45.0,#24491,15.156562223,52.274734331,15.469095643,130.983116859
D/S1W2,8,40,11.0,#24491,12.881043845,53.201339623,15.534582659,131.552588578
D/S1W2,9,57,50.0,#24491,1.480342789,55.262426112,23.318793925,144.704770831
D/S1W2,10,46,48.0,#17622,349.847462638,50.087066871,20.538895369,163.07891319
D/S1W2,11,17,22.0,#24491,349.374914825,53.913295369,22.30714316,154.057599904
D/S1W2,12,27,34.0,#24491,341.144508108,50.149821129,6.844008677,150.859034739
D/S1W2,5,17,51.0,#148772,354.627560623,67.112522571,-1.214880703,87.375652181
D/S1W2,7,21,8.0,#162930,352.310317255,64.587211863,-10.245187004,87.375652181
D/S1W2,5,25,2.0,#134547,301.183886304,74.096077286,34.613861853,87.999970658
D/S1W2,5,25,3.0,#134547,301.179959613,74.093121837,34.60834009,87.999970658
D/S1W2,5,25,5.0,#134547,301.172112049,74.087210572,34.59731006,87.999970658
D/S1W2,5,25,14.0,#134547,301.13689376,74.060603831,34.547671992,87.999970658
